student_id,name,gender,age,attendance_percentage,internal_score_1,internal_score_2,internal_score_3,assignment_submission_rate,participation_score,library_usage_hours,extracurricular_score,final_grade,performance_label
STU001,Student 1,Male,22,62.12,32.33,20.33,40.6,90.44,8,9.89,41.66,C,Average
STU002,Student 2,Female,22,63.46,31.82,49.74,21.56,98.03,8,12.19,34.1,C,Average
STU003,Student 3,Male,18,68.86,35.73,47.45,45.04,88.1,3,7.34,30.47,B,Good
STU004,Student 4,Male,20,51.0,43.86,33.9,43.67,71.92,10,11.72,12.44,B,Good
STU005,Student 5,Male,19,66.1,27.17,44.47,33.93,64.21,1,17.32,21.51,D,At Risk
STU006,Student 6,Female,18,60.57,38.73,33.23,39.86,91.27,9,29.77,13.73,B,Good
STU007,Student 7,Male,19,66.37,34.8,36.83,26.0,85.77,6,20.6,48.55,C,Average
STU008,Student 8,Male,19,55.99,24.35,18.12,31.49,61.93,9,7.58,15.4,D,At Risk
STU009,Student 9,Male,20,94.53,45.75,41.43,43.76,74.4,7,3.26,16.07,B,Good
STU010,Student 10,Female,19,79.68,42.91,19.47,31.07,98.27,1,5.54,45.58,C,Average
STU011,Student 11,Male,19,83.96,38.05,43.91,27.52,80.02,1,17.75,47.76,C,Average
STU012,Student 12,Male,20,89.46,44.77,42.37,32.3,77.31,6,23.42,40.63,B,Good
STU013,Student 13,Male,19,74.92,45.36,39.81,43.99,78.31,5,28.33,10.22,B,Good
STU014,Student 14,Male,19,54.35,39.79,16.27,26.73,68.36,9,2.44,10.05,D,At Risk
STU015,Student 15,Female,19,76.86,44.3,25.61,21.08,74.75,2,16.64,25.12,D,At Risk
STU016,Student 16,Male,18,79.34,39.41,24.21,39.92,74.79,8,15.18,15.74,C,Average
STU017,Student 17,Female,18,87.27,38.8,27.6,43.91,62.09,5,20.37,10.74,C,Average
STU018,Student 18,Female,18,71.58,36.65,18.07,18.52,90.7,2,17.67,28.56,D,At Risk
STU019,Student 19,Female,20,56.38,41.35,47.79,23.4,76.66,10,21.24,47.72,C,Average
STU020,Student 20,Male,22,64.19,20.55,34.38,19.97,92.89,6,20.43,22.95,D,At Risk
STU021,Student 21,Female,19,68.15,45.83,25.69,27.18,94.01,10,5.28,36.45,B,Good
STU022,Student 22,Male,19,82.3,45.51,28.89,30.76,68.48,8,24.39,36.09,C,Average
STU023,Student 23,Female,20,78.54,16.02,30.65,41.21,86.29,4,5.45,20.04,C,Average
STU024,Student 24,Female,19,67.8,43.9,36.02,37.79,78.89,2,21.56,36.02,C,Average
STU025,Student 25,Female,18,99.33,19.51,33.05,36.73,95.21,5,13.65,18.49,C,Average
STU026,Student 26,Female,22,80.29,26.73,47.18,27.33,68.63,2,16.39,14.88,C,Average
STU027,Student 27,Female,21,61.86,41.02,32.39,44.45,87.11,2,27.29,38.06,C,Average
STU028,Student 28,Female,19,55.09,20.63,49.73,31.5,84.31,6,26.92,14.54,C,Average
STU029,Student 29,Female,18,57.64,43.63,44.8,49.27,71.81,10,24.9,49.88,B,Good
STU030,Student 30,Female,21,62.3,44.12,22.3,37.19,65.46,9,16.28,17.34,C,Average
STU031,Student 31,Male,22,58.03,32.76,47.57,19.42,86.07,4,22.61,33.77,C,Average
STU032,Student 32,Male,21,59.33,15.22,19.07,38.67,89.54,6,16.36,26.45,D,At Risk
STU033,Student 33,Female,18,64.25,25.05,43.61,26.38,72.63,7,26.35,15.06,C,Average
STU034,Student 34,Female,21,58.67,36.59,28.32,39.02,85.79,6,13.28,11.11,C,Average
STU035,Student 35,Female,20,94.84,49.34,45.73,17.44,75.81,8,29.17,34.91,B,Good
STU036,Student 36,Male,21,54.01,37.11,45.38,21.12,88.53,4,28.11,42.27,C,Average
STU037,Student 37,Female,19,76.23,24.09,43.21,44.95,67.97,1,22.76,43.68,C,Average
STU038,Student 38,Male,19,70.52,37.19,42.65,22.95,95.61,7,9.82,29.31,C,Average
STU039,Student 39,Male,20,99.12,33.9,25.66,44.3,71.5,3,5.69,41.1,C,Average
STU040,Student 40,Male,18,55.6,42.29,17.83,24.77,74.71,6,25.93,36.91,D,At Risk
STU041,Student 41,Male,19,69.89,18.74,29.1,37.5,62.32,2,6.63,38.97,D,At Risk
STU042,Student 42,Male,22,98.47,41.64,21.07,39.3,64.46,9,25.92,29.7,B,Good
STU043,Student 43,Female,19,93.28,33.94,39.32,32.94,80.63,1,15.74,35.34,C,Average
STU044,Student 44,Female,19,90.85,48.7,27.11,25.69,70.7,6,13.38,42.22,C,Average
STU045,Student 45,Female,18,62.9,26.97,49.15,22.44,93.42,6,27.29,25.92,C,Average
STU046,Student 46,Female,21,58.54,37.14,37.43,16.16,60.59,5,18.91,42.24,D,At Risk
STU047,Student 47,Female,19,83.43,47.62,43.79,25.64,75.16,5,18.15,33.68,B,Good
STU048,Student 48,Male,20,96.47,18.59,19.64,37.86,73.49,1,17.65,16.64,D,At Risk
STU049,Student 49,Female,21,77.84,47.8,45.17,47.84,60.77,10,12.39,10.99,B,Good
STU050,Student 50,Female,22,78.58,39.08,47.3,45.49,64.97,5,24.0,24.51,B,Good
STU051,Student 51,Male,18,64.0,17.37,32.05,41.81,76.55,2,9.08,31.87,D,At Risk
STU052,Student 52,Female,22,88.47,25.53,36.22,42.6,79.71,7,28.29,43.59,B,Good
STU053,Student 53,Male,21,59.35,39.79,41.77,38.27,76.17,3,27.03,15.1,C,Average
STU054,Student 54,Female,21,66.18,17.36,21.12,24.11,81.24,4,11.45,42.01,D,At Risk
STU055,Student 55,Male,21,71.27,35.38,32.59,46.75,83.81,3,22.42,44.52,C,Average
STU056,Student 56,Female,22,75.38,27.11,28.95,38.48,60.4,3,18.05,16.03,D,At Risk
STU057,Student 57,Female,21,62.12,36.73,20.12,34.62,78.56,4,11.45,44.06,D,At Risk
STU058,Student 58,Male,22,55.74,16.6,27.86,18.88,98.54,5,29.68,49.66,D,At Risk
STU059,Student 59,Male,21,80.53,45.5,17.39,30.65,80.76,1,2.71,39.07,D,At Risk
STU060,Student 60,Male,20,64.43,49.07,15.9,31.11,87.1,4,9.07,41.39,C,Average
STU061,Student 61,Male,21,79.06,48.91,19.73,45.26,72.47,8,16.56,49.78,B,Good
STU062,Student 62,Male,22,57.72,41.24,48.71,34.13,90.96,10,16.61,34.22,B,Good
STU063,Student 63,Male,19,74.06,19.55,34.23,28.31,90.92,7,18.49,22.32,C,Average
STU064,Student 64,Male,21,76.63,41.54,48.8,49.19,80.85,9,23.05,43.5,A,Excellent
STU065,Student 65,Male,19,52.59,15.86,30.14,18.88,99.04,5,19.46,34.58,D,At Risk
STU066,Student 66,Female,20,66.83,15.77,25.91,29.79,65.02,10,18.81,33.25,D,At Risk
STU067,Student 67,Female,18,56.72,26.33,32.71,16.47,60.68,4,3.5,20.15,D,At Risk
STU068,Student 68,Male,20,53.17,32.1,30.38,40.9,90.81,8,12.54,40.25,C,Average
STU069,Student 69,Female,21,99.5,41.96,18.7,47.13,92.29,9,8.5,13.27,B,Good
STU070,Student 70,Female,19,66.12,38.92,37.43,24.8,64.81,7,9.43,46.97,C,Average
STU071,Student 71,Female,19,90.49,30.61,22.56,45.04,70.62,7,17.52,23.03,C,Average
STU072,Student 72,Female,22,62.73,24.58,36.69,25.23,60.7,5,7.59,15.11,D,At Risk
STU073,Student 73,Male,19,84.08,49.9,37.76,46.88,71.73,4,10.23,27.69,B,Good
STU074,Student 74,Female,22,88.01,29.92,20.32,41.39,90.93,10,8.64,11.7,B,Good
STU075,Student 75,Male,18,79.78,30.8,17.15,43.17,80.72,1,28.56,37.39,D,At Risk
STU076,Student 76,Female,21,73.58,20.73,42.33,15.63,73.92,10,28.45,46.11,C,Average
STU077,Student 77,Female,22,70.59,42.82,31.09,48.7,74.87,10,19.08,43.49,B,Good
STU078,Student 78,Female,18,67.44,39.28,17.04,40.43,60.05,7,27.89,15.09,D,At Risk
STU079,Student 79,Male,19,96.48,22.73,49.82,25.67,71.99,1,24.0,15.05,C,Average
STU080,Student 80,Female,19,91.53,17.88,17.02,44.03,85.86,1,18.52,42.54,D,At Risk
STU081,Student 81,Male,18,98.25,38.82,39.33,24.85,98.97,5,2.18,46.97,B,Good
STU082,Student 82,Female,19,56.21,37.91,49.43,45.55,93.88,9,23.63,28.43,B,Good
STU083,Student 83,Male,18,86.54,24.56,23.37,18.94,60.94,6,21.67,29.96,D,At Risk
STU084,Student 84,Female,22,96.92,48.28,19.98,39.63,95.94,3,19.23,22.73,B,Good
STU085,Student 85,Male,22,59.06,20.29,19.25,33.92,91.33,3,23.29,45.77,D,At Risk
STU086,Student 86,Male,18,53.32,30.13,25.61,18.38,91.22,7,16.36,35.8,D,At Risk
STU087,Student 87,Female,22,87.06,48.03,18.54,23.47,78.32,6,21.71,21.53,C,Average
STU088,Student 88,Male,22,78.72,29.69,39.23,15.43,75.92,9,28.18,21.95,C,Average
STU089,Student 89,Female,22,92.09,37.35,17.18,31.41,72.12,6,12.52,45.65,C,Average
STU090,Student 90,Female,20,56.99,28.92,32.83,25.54,62.63,5,21.83,10.55,D,At Risk
STU091,Student 91,Female,21,89.76,24.6,49.88,35.94,69.13,10,15.32,22.91,B,Good
STU092,Student 92,Female,19,60.08,49.44,43.49,25.4,69.86,7,20.88,32.17,C,Average
STU093,Student 93,Female,20,58.18,29.33,36.53,25.5,79.36,1,23.36,15.93,D,At Risk
STU094,Student 94,Female,22,58.21,46.29,25.72,41.01,89.9,7,3.27,13.68,C,Average
STU095,Student 95,Female,18,90.73,23.05,36.84,16.68,78.95,3,20.1,42.61,D,At Risk
STU096,Student 96,Female,22,83.26,22.46,33.45,46.6,62.31,9,8.35,45.78,C,Average
STU097,Student 97,Female,21,76.15,16.09,29.91,44.83,98.31,6,20.76,42.94,C,Average
STU098,Student 98,Female,22,67.94,37.81,19.57,38.37,97.71,9,15.11,45.95,C,Average
STU099,Student 99,Female,18,93.86,27.9,46.03,35.76,91.41,5,23.66,32.12,B,Good
STU100,Student 100,Male,21,69.62,45.25,30.74,46.23,99.65,7,5.46,42.49,B,Good
STU101,Student 101,Male,22,90.83,31.56,21.81,21.49,81.78,4,19.54,25.36,D,At Risk
STU102,Student 102,Female,21,71.96,48.89,27.87,17.76,98.51,7,9.8,36.65,C,Average
STU103,Student 103,Female,19,68.85,21.49,29.49,23.38,63.02,1,25.88,49.55,D,At Risk
STU104,Student 104,Female,19,73.13,45.4,43.96,42.81,74.63,7,27.99,19.03,B,Good
STU105,Student 105,Female,22,65.07,42.18,40.68,16.21,69.02,8,29.9,25.6,C,Average
STU106,Student 106,Female,21,87.38,41.98,41.93,35.4,67.83,5,24.29,29.2,B,Good
STU107,Student 107,Female,18,75.14,44.57,15.39,49.84,65.63,2,23.1,15.52,C,Average
STU108,Student 108,Female,22,61.61,41.64,29.57,44.95,84.9,5,8.03,13.24,C,Average
STU109,Student 109,Female,19,94.98,36.92,31.85,33.25,91.25,6,11.41,43.19,B,Good
STU110,Student 110,Male,19,69.19,19.59,15.67,17.23,83.13,2,15.04,49.07,F,At Risk
STU111,Student 111,Female,22,77.18,16.14,24.09,44.1,65.88,6,23.65,26.19,D,At Risk
STU112,Student 112,Male,21,95.32,47.23,41.61,35.96,92.44,6,27.62,13.51,A,Excellent
STU113,Student 113,Female,19,81.21,36.58,19.8,19.02,85.44,1,7.3,12.63,D,At Risk
STU114,Student 114,Female,21,55.84,42.88,33.74,18.29,75.53,1,27.83,45.65,D,At Risk
STU115,Student 115,Male,19,96.99,31.85,22.53,46.84,86.97,10,21.48,28.55,B,Good
STU116,Student 116,Female,19,81.39,19.11,15.42,38.42,70.4,3,19.1,22.8,D,At Risk
STU117,Student 117,Male,20,66.75,19.38,23.44,44.03,73.81,10,7.6,29.06,C,Average
STU118,Student 118,Female,19,56.96,38.99,49.16,45.76,96.7,10,3.55,22.73,A,Excellent
STU119,Student 119,Female,18,89.7,30.06,43.05,35.01,71.62,3,17.92,29.56,C,Average
STU120,Student 120,Male,22,81.0,22.02,48.59,33.11,78.8,4,20.24,44.38,C,Average
STU121,Student 121,Female,22,76.67,32.21,32.07,30.06,95.61,2,7.9,33.69,C,Average
STU122,Student 122,Male,21,94.69,17.25,18.84,26.09,88.31,9,17.58,37.79,C,Average
STU123,Student 123,Female,19,89.43,35.37,34.18,30.21,62.49,10,25.98,24.59,C,Average
STU124,Student 124,Male,18,57.58,24.41,30.9,42.09,65.89,7,25.38,39.54,D,At Risk
STU125,Student 125,Male,21,65.59,42.91,44.55,36.07,60.31,7,27.97,36.66,C,Average
STU126,Student 126,Female,20,62.42,25.86,18.43,46.24,85.24,6,12.24,14.78,C,Average
STU127,Student 127,Female,21,87.2,30.93,32.09,30.52,77.91,3,10.91,32.91,C,Average
STU128,Student 128,Male,21,51.68,15.41,20.25,36.25,65.37,6,22.98,20.27,D,At Risk
STU129,Student 129,Female,19,78.49,17.54,26.36,37.1,98.32,8,14.07,42.16,C,Average
STU130,Student 130,Female,20,88.12,28.74,40.81,35.71,81.19,8,4.45,27.04,B,Good
STU131,Student 131,Female,21,93.84,31.8,31.66,39.59,69.68,9,9.92,49.79,B,Good
STU132,Student 132,Male,18,67.1,36.0,28.16,23.31,80.02,1,13.72,13.7,D,At Risk
STU133,Student 133,Male,18,91.06,25.21,28.81,32.93,87.18,1,10.19,41.21,C,Average
STU134,Student 134,Male,22,55.53,39.32,31.08,18.65,63.05,3,11.3,36.95,D,At Risk
STU135,Student 135,Male,20,92.32,45.1,42.48,28.46,70.99,3,10.23,40.7,C,Average
STU136,Student 136,Male,20,56.37,42.29,46.22,32.07,92.28,10,3.16,22.3,B,Good
STU137,Student 137,Male,22,69.86,16.39,48.44,37.83,78.39,8,19.84,29.68,C,Average
STU138,Student 138,Male,21,89.86,31.82,42.54,48.27,81.86,10,18.72,41.86,A,Excellent
STU139,Student 139,Male,20,57.5,18.67,26.04,36.02,77.31,1,20.29,19.3,D,At Risk
STU140,Student 140,Male,18,61.46,23.47,39.08,41.03,61.76,2,7.38,19.04,D,At Risk
STU141,Student 141,Female,18,86.11,49.53,30.32,32.72,66.63,2,10.28,32.04,C,Average
STU142,Student 142,Male,19,86.0,19.99,23.91,37.19,77.82,3,19.35,30.94,D,At Risk
STU143,Student 143,Female,20,82.06,32.46,44.43,17.48,68.37,6,18.79,21.29,C,Average
STU144,Student 144,Female,21,84.7,36.64,16.34,23.9,62.0,1,16.18,21.92,D,At Risk
STU145,Student 145,Female,22,77.14,39.59,46.56,27.66,93.75,2,11.81,21.11,C,Average
STU146,Student 146,Male,22,62.59,34.59,31.15,31.54,99.25,1,27.56,40.86,C,Average
STU147,Student 147,Male,21,67.28,15.34,37.3,16.6,91.73,5,11.51,36.08,D,At Risk
STU148,Student 148,Male,19,59.08,26.43,38.08,19.9,94.15,7,14.76,43.3,C,Average
STU149,Student 149,Male,22,95.42,33.12,46.33,24.69,69.68,8,20.99,49.02,B,Good
STU150,Student 150,Female,20,79.17,18.08,37.28,49.0,98.43,10,17.2,28.97,B,Good
STU151,Student 151,Male,19,70.04,27.27,36.49,26.6,67.88,1,11.71,12.67,D,At Risk
STU152,Student 152,Male,20,73.1,16.16,17.33,31.87,98.06,7,14.2,11.92,D,At Risk
STU153,Student 153,Male,18,97.36,17.75,33.14,21.86,99.79,5,24.25,21.83,C,Average
STU154,Student 154,Male,19,57.67,28.89,20.26,36.38,88.47,10,9.79,47.3,C,Average
STU155,Student 155,Male,22,79.31,19.65,40.81,24.82,99.25,1,5.98,30.93,C,Average
STU156,Student 156,Female,19,75.29,34.86,32.93,22.24,82.78,3,10.77,20.87,D,At Risk
STU157,Student 157,Male,19,80.57,39.13,38.81,33.08,70.38,7,25.79,25.97,C,Average
STU158,Student 158,Female,19,50.91,43.02,16.46,15.19,77.48,10,4.49,33.94,D,At Risk
STU159,Student 159,Male,19,93.61,22.01,17.97,15.27,83.74,1,29.77,36.12,D,At Risk
STU160,Student 160,Female,20,96.61,20.86,40.07,22.67,62.92,7,17.15,16.16,C,Average
STU161,Student 161,Male,18,78.26,18.66,17.52,16.29,84.89,5,29.58,49.08,D,At Risk
STU162,Student 162,Male,21,84.83,37.28,17.49,18.78,99.25,1,28.29,31.79,D,At Risk
STU163,Student 163,Female,19,96.12,39.73,15.42,26.86,67.6,1,14.68,15.43,D,At Risk
STU164,Student 164,Female,22,85.36,16.11,48.48,43.09,91.7,1,7.56,45.75,C,Average
STU165,Student 165,Female,19,57.63,47.77,40.81,35.02,96.32,9,6.62,12.99,B,Good
